"StartDate","Status","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","UserLanguage","QID46","A1_1","A1_2","A1_3","A1_4","A1_5","A1_6","A1_7","A1_8","A1_8_TEXT","A2_1","A2_2","A2_3","A2_4","A3","B1","B5","C1_1","C1_2","C1_3","C1_4","C1_5","C1_6","C1_7","C1_7_TEXT","C2_1","C2_2","C2_3","C2_4","C2_5","C2_6","C2_7","C2_7_TEXT","C4","C5","C5_8_TEXT","C5_T_First Click","C5_T_Last Click","C5_T_Page Submit","C5_T_Click Count","C5-1","C5-1_6_TEXT","C5-2","C5-2_6_TEXT","C5-3","C5-3_6_TEXT","C5-4","C5-4_6_TEXT","C5-5","C5-5_6_TEXT","C5-6","C5-6_6_TEXT","D1_1","D1_2","D1_3","D1_4","D1_5","D1_6","D1_7","D1_6_TEXT","D2_1","D2_2","D2_3","D2_4","D2_5","D2_6","D2_10","D2_6_TEXT","E1a","E1_T_First Click","E1_T_Last Click","E1_T_Page Submit","E1_T_Click Count","E1","E2","E3_1","F1","F2_1","F3","F4","F5_1","F5_2","F6","F7","F8","C7_1","C7_2","C7_3","C7_4","C7_5","C7_6","C8_1","C8_2","C8_3","C8_4","C8_5","C8_6","D3-1","D3-1_6_TEXT","D3-2","D3-2_6_TEXT","D3-3","D3-3_6_TEXT","D3-4","D3-4_6_TEXT","D3-5","D3-5_6_TEXT","D3-6","D3-6_6_TEXT","Q114","Q114_6_TEXT","Q115","Q115_6_TEXT","Q116","Q116_6_TEXT","Q117","Q117_6_TEXT","Q118","Q118_6_TEXT","Q119","Q119_6_TEXT","opp","rid","RISN","PID","psid","rnid","study","K2","med","Q_Language","EmbeddedDataBid","AccessCode","WTPQuestion","gc","ExternalDataReference"
2021-02-11 05:06:13,0,67,142545,0,2021-02-14 20:42:02,"R_27I4RnC89i1bnb5","ES",1,1,-99,-99,-99,-99,-99,-99,-99,"-99",1,2,2,2,25,4,2,-99,1,-99,-99,-99,-99,-99,"-99",1,-99,-99,-99,-99,-99,-99,"-99",NA,NA,NA,2.786,36.452,36.456,9,1,"-99",2,"-99",2,"-99",-99,"-99",-99,"-99",-99,"-99",1,-99,-99,-99,-99,-99,NA,"-99",-99,1,-99,-99,-99,-99,NA,"-99",NA,4.674,14.713,15.309,3,1,2,4,1,8,3,2,3,2,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Qual_mail",NA,NA,NA,NA,NA,NA,NA,"{Invalid Expression}","ES",240,369867,0,NA,NA
2021-02-17 18:55:14,0,100,567,1,2021-02-17 19:04:42,"R_1FgpP5OjP2aGTF4","EN",1,-99,-99,1,1,1,-99,-99,-99,"-99",3,4,4,4,10,2,1,-99,1,-99,-99,-99,-99,-99,"-99",-99,-99,1,-99,-99,-99,-99,"-99",NA,NA,NA,35.265,141.321,143.239,9,1,"-99",1,"-99",2,"-99",2,"-99",2,"-99",2,"-99",-99,1,-99,-99,-99,-99,NA,"-99",-99,1,-99,-99,-99,-99,NA,"-99",NA,50.957,77.714,79.12,5,1,1,3,1,61,1,2,4,4,5,4,"-99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Qual_mail",NA,NA,NA,NA,NA,NA,NA,"{Invalid Expression}","EN",96,563695,0,1,563695
2021-02-23 19:54:36,0,100,394,1,2021-02-23 20:01:11,"R_SHPODZbPWWlH9iV","EN",1,-99,-99,1,-99,1,-99,-99,-99,"-99",1,3,4,4,20,6,1,-99,1,-99,-99,-99,-99,-99,"-99",-99,1,-99,-99,-99,-99,-99,"-99",NA,NA,NA,20.354,95.024,97.365,9,1,"-99",-99,"-99",2,"-99",2,"-99",2,"-99",2,"-99",-99,1,-99,-99,-99,-99,NA,"-99",-99,1,-99,-99,-99,-99,NA,"-99",9,NA,NA,NA,NA,NA,NA,NA,1,33,1,2,4,4,4,2,"-99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Qual_mail",NA,NA,NA,NA,NA,NA,NA,"{Invalid Expression}","EN",96,352893,1,1,352893
2021-02-24 16:07:37,0,100,555,1,2021-02-24 16:16:53,"R_3HCCjtuRYok2qO3","EN",1,-99,-99,-99,-99,1,-99,1,-99,"-99",2,2,2,2,30,1,1,-99,1,-99,-99,-99,-99,-99,"-99",-99,1,-99,-99,-99,-99,-99,"-99",NA,NA,NA,14.272,57.466,70.979,7,1,"-99",2,"-99",2,"-99",2,"-99",2,"-99",2,"-99",-99,1,-99,-99,-99,-99,NA,"-99",-99,1,-99,-99,-99,-99,NA,"-99",NA,45.006,76.333,80.557,5,2,1,2,2,57,1,2,4,4,6,7,"-99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Qual_mail",NA,NA,NA,NA,NA,NA,NA,"{Invalid Expression}","EN",240,538363,0,1,538363
2021-02-24 17:00:12,0,100,667,1,2021-02-24 17:11:21,"R_1ezWSSD6IOWhJPf","EN",1,-99,-99,1,-99,1,-99,-99,-99,"-99",4,4,4,4,15,2,1,-99,-99,-99,-99,-99,-99,1,"Go outside and look and listen for it.  Also watch radar on TV and on phone.  If danger seems imminent go to basement shelter, which is earth sheltered with strong roof.",-99,-99,-99,-99,-99,-99,1,"See C1 answer.  We would NEVER get in a car.",NA,NA,NA,29.321,72.743,76.446,7,6,"See C1.",6,"See C1.",6,"See C1.",6,"See C1.",6,"See C1.",6,"See C1.",-99,-99,-99,-99,-99,1,NA,"See C1.",-99,-99,-99,-99,-99,1,NA,"See C1.",1,NA,NA,NA,NA,NA,NA,NA,2,17,2,2,4,4,6,9,"I am a native Oklahoman.  Have grown up with tornadoes.  When I was a kid and a tornado alert came on the TV my mother would throw me the car keys and say ""get in the car"" so we could go find it.  We finally saw one.  It took us about 8 years to see one.  They are so small, so short-lived, and so rare.  You have to be lucky to see one unless, I guess, you are a dedicated chaser.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Qual_mail",NA,NA,NA,NA,NA,NA,NA,"{Invalid Expression}","EN",64,573736,1,1,573736
2021-02-24 17:12:15,0,100,390,1,2021-02-24 17:18:46,"R_Tw1N38Onf8ZnlYZ","EN",1,-99,-99,-99,1,1,-99,-99,-99,"-99",1,4,4,4,240,1,1,-99,-99,1,-99,-99,-99,-99,"-99",1,-99,-99,-99,-99,-99,-99,"-99",NA,NA,NA,12.901,64.002,66.589,10,1,"-99",2,"-99",2,"-99",2,"-99",3,"-99",3,"-99",-99,-99,1,-99,-99,-99,NA,"-99",-99,-99,1,-99,-99,-99,NA,"-99",NA,35.863,55.819,57.844,3,1,1,2,1,57,1,2,3,3,6,8,"-99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Qual_mail",NA,NA,NA,NA,NA,NA,NA,"{Invalid Expression}","EN",16,467099,0,1,467099
2021-02-24 17:13:51,0,100,390,1,2021-02-24 17:20:22,"R_2EnI5AoWCQQVjuL","EN",1,-99,-99,1,1,1,-99,-99,-99,"-99",2,4,4,4,5,2,1,-99,-99,1,-99,-99,-99,-99,"-99",-99,-99,1,-99,-99,-99,-99,"-99",NA,NA,NA,12.287,40.797,44.865,8,1,"-99",6,"Watch the weather closely",2,"-99",2,"-99",2,"-99",2,"-99",-99,-99,-99,-99,-99,1,NA,"Seek more information and take shelter when it is closer",-99,-99,-99,-99,-99,1,NA,"Seek more information and take shelter when it is closer",NA,57.096,69.065,70.341,3,2,2,3,1,56,5,2,4,4,4,8,"I believe the best warning system is for calls/texts/emails to go to households warning of future and current tornados. This way we do not have to be dependent upon watching TV, checking social media, etc. Also, this would ensure that people are aware of threats in the middle of the night when people are typically not watching TV or checking social media. The City of Newcastle has a warning system like this but it is not very detailed.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Qual_mail",NA,NA,NA,NA,NA,NA,NA,"{Invalid Expression}","EN",240,29627,0,1,29627
2021-02-24 20:31:23,0,100,273,1,2021-02-24 20:35:58,"R_1gim4ObNhia6zus","EN",1,-99,1,1,-99,1,-99,-99,-99,"-99",4,4,4,4,20,2,1,-99,-99,1,-99,-99,-99,-99,"-99",-99,-99,1,-99,-99,-99,-99,"-99",NA,NA,NA,18.325,35.952,37.658,6,1,"-99",1,"-99",2,"-99",2,"-99",2,"-99",2,"-99",-99,1,-99,-99,-99,-99,NA,"-99",-99,1,-99,-99,-99,-99,NA,"-99",NA,17.868,30.275,30.684,4,2,1,4,1,58,1,2,4,4,6,6,"-99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Qual_mail",NA,NA,NA,NA,NA,NA,NA,"{Invalid Expression}","EN",32,378837,0,1,378837
2021-02-25 00:10:49,0,100,883,1,2021-02-25 00:25:33,"R_1jjLv8HZLosttxV","EN",1,-99,-99,-99,1,1,-99,-99,-99,"-99",3,4,4,4,10,2,1,-99,-99,1,-99,-99,-99,-99,"-99",-99,-99,1,-99,-99,-99,-99,"-99",NA,NA,NA,2.706,44.128,47.14,17,2,"-99",2,"-99",2,"-99",2,"-99",2,"-99",2,"-99",-99,1,-99,-99,-99,-99,NA,"-99",-99,1,-99,-99,-99,-99,NA,"-99",NA,3.533,365.11,367.374,24,2,1,3,1,53,3,2,4,4,4,2,"-99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Qual_mail",NA,NA,NA,NA,NA,NA,NA,"{Invalid Expression}","EN",64,956424,0,1,956424
2021-02-25 01:26:09,0,100,252,1,2021-02-25 01:30:22,"R_2BfmLvNuwlBAJJu","EN",1,1,-99,-99,-99,1,-99,-99,1,"NWS Chat",4,4,4,4,15,2,1,-99,1,-99,-99,-99,-99,-99,"-99",-99,1,-99,-99,-99,-99,-99,"-99",NA,NA,NA,9.346,30.117,32.484,7,1,"-99",1,"-99",1,"-99",2,"-99",2,"-99",2,"-99",-99,1,-99,-99,-99,-99,NA,"-99",-99,1,-99,-99,-99,-99,NA,"-99",11,NA,NA,NA,NA,NA,NA,NA,2,46,3,2,4,4,4,7,"-99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Qual_mail",NA,NA,NA,NA,NA,NA,NA,"{Invalid Expression}","EN",4,742114,1,1,742114
