StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,QID46,A1_1,A1_2,A1_3,A1_4,A1_5,A1_6,A1_7,A1_8,A1_8_TEXT,A2_1,A2_2,A2_3,A2_4,A3,B1,B2,B3,B3_7_TEXT,B4,B5,C1,C1_7_TEXT,C2,C2_7_TEXT,C3,C3_7_TEXT,C4,C5,C5_8_TEXT,C6_2,C6_3,C6_4,C6_5,C6_6,C6_1,C6_8,C6_7,C6_7_TEXT,C7_T_First Click,C7_T_Last Click,C7_T_Page Submit,C7_T_Click Count,C7_1,C7_2,C7_3,C7_4,C7_5,C7_6,C8_T_First Click,C8_T_Last Click,C8_T_Page Submit,C8_T_Click Count,C8_1,C8_2,C8_3,C8_4,C8_5,C8_6,D1,D1_6_TEXT,D2_T_First Click,D2_T_Last Click,D2_T_Page Submit,D2_T_Click Count,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D3_T_First Click,D3_T_Last Click,D3_T_Page Submit,D3_T_Click Count,D3_1,D3_2,D3_3,D3_4,D3_5,D3_6,E1_T_First Click,E1_T_Last Click,E1_T_Page Submit,E1_T_Click Count,E1,E2,E3_1,F1,F2_1,F3,F4,F5,F6,F7_2,F7_1,F7_3,F7_5,F7_4,F7_6,F8_1,F8_2,F9,F10,F9,C7_1,C7_2,C7_3,C7_4,C7_5,C7_6,C8_1,C8_2,C8_3,C8_4,C8_5,C8_6,D2-1,D2-1_6_TEXT,D2-2,D2-2_6_TEXT,D2-3,D2-3_6_TEXT,D2-4,D2-4_6_TEXT,D2-5,D2-5_6_TEXT,D2-6,D2-6_6_TEXT,D3-1,D3-1_6_TEXT,D3-2,D3-2_6_TEXT,D3-3,D3-3_6_TEXT,D3-4,D3-4_6_TEXT,D3-5,D3-5_6_TEXT,D3-6,D3-6_6_TEXT,opp,rid,RISN,PID,psid,rnid,study,K2,med,Q_Language,EmbeddedDataBid,AccessCode,gc,term,LS,ExternalDataReference,EmbeddedData
8/19/2020 5:09,8/19/2020 5:17,0,100,527,1,8/19/2020 5:17,R_88ENeFfd7PaNaX7,anonymous,EN,1,0,0,1,0,1,1,0,0,-99,2,4,4,4,60,2,8,9,-99,5,2,3,-99,6,-99,1,-99,,,,1,1,1,1,0,1,0,0,-99,14.666,34.102,45.295,6,1,3,2,2,2,2,16.816,24.849,27.694,6,1,1,1,1,1,1,3,-99,10.399,23.697,25.548,7,1,3,3,3,3,3,7.179,18.783,19.977,8,1,3,3,3,3,3,47.669,68.046,69.335,3,1,1,2,2,34,6,6,6,2,0,0,1,0,0,0,4,4,5,9,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual_mail,,,,,,,,{Invalid Expression},EN,240,,1,,{Invalid Expression},42022,
8/19/2020 15:10,8/19/2020 15:29,0,100,1128,1,8/19/2020 15:29,R_bNooHy9ZwLEc0Ux,anonymous,EN,1,0,0,0,0,0,0,0,1,Siren system,2,4,4,4,5,2,7,8,-99,5,1,3,-99,3,-99,4,-99,,,,0,1,0,0,0,0,0,0,-99,41.538,94.252,97.598,10,1,1,1,1,2,2,76.24,82.293,83.058,7,5,5,5,5,1,1,2,-99,7.378,37.007,48.967,10,1,1,1,1,2,3,1.794,13.392,17.175,10,1,1,1,2,2,3,6.688,102.24,103,15,2,1,4,1,68,5,5,2,2,0,0,0,1,0,0,4,4,5,7,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual_mail,,,,,,,,{Invalid Expression},EN,96,,1,,{Invalid Expression},164374,
8/11/2020 22:48,8/13/2020 16:59,0,10,151861,0,8/20/2020 16:59,R_2rpH6uD8nyBzYbe,anonymous,ES,1,0,1,0,0,0,0,0,0,-99,1,2,3,3,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual_mail,,,,,,,,{Invalid Expression},ES,16,,,,,,
8/28/2020 18:00,8/28/2020 18:11,0,100,677,1,8/28/2020 18:11,R_1DpN9zfk0QcW5og,anonymous,EN,1,0,0,1,0,1,0,0,0,-99,1,4,4,4,30,2,6,1,-99,4,1,1,-99,6,-99,4,-99,,,,1,0,0,1,0,0,0,0,-99,9.77,52.398,55.137,8,1,1,1,1,2,2,6.263,28.972,30.604,7,4,4,4,4,4,4,5,-99,7.206,34.082,35.798,8,1,1,1,1,3,3,9.5,22.607,24.02,9,-99,-99,-99,-99,-99,-99,14.055,65.54,67.393,6,1,1,5,1,53,3,2,2,2,0,0,1,0,0,0,4,4,4,4,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual_mail,,,,,,,,{Invalid Expression},EN,16,344500,1,,{Invalid Expression},344500,
8/28/2020 21:44,8/28/2020 22:05,0,100,1302,1,8/28/2020 22:05,R_sGU80ZSlOPvdILT,anonymous,EN,1,0,0,1,0,1,0,0,0,-99,1,2,2,2,30,2,10,8,-99,4,1,3,-99,3,-99,4,-99,,,,0,0,1,1,0,0,0,0,-99,29.115,63.613,66.456,8,1,1,1,2,2,2,12.12,19.515,21.503,6,5,5,5,1,1,1,2,-99,28.297,38.09,40.601,6,2,2,2,3,3,3,17.998,47.887,50.606,14,2,2,2,3,3,3,78.207,120.621,122.623,3,1,1,4,2,18,2,2,0,2,0,0,0,1,0,0,4,4,3,4,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual_mail,,,,,,,,{Invalid Expression},EN,240,981120,1,,{Invalid Expression},981120,
8/29/2020 9:19,8/29/2020 9:37,0,100,1082,1,8/29/2020 9:37,R_12RcUPUqymOJn0B,anonymous,EN,1,0,0,1,1,0,1,0,0,-99,1,3,4,4,15,2,6,8,-99,5,1,3,-99,1,-99,1,-99,,,,0,0,0,1,0,1,0,0,-99,39.241,54.265,56.456,6,1,1,2,2,2,2,8.29,38.138,58.876,6,5,5,5,5,5,5,2,-99,12.361,33.172,35.444,7,1,2,2,2,3,3,17.434,71.489,73.753,8,1,1,1,1,2,3,5.226,12.753,18.054,3,2,2,3,1,26,2,2,0,2,0,0,0,1,0,0,4,4,3,-99,There has NEVER been any tornado warning system in our County. We rely on the Weather Channel when we are home and a storm is approaching. In the event a thunderstorm would occur during the night hours that prompted a tornado warning it is very likely we would never know unless we were awakened and had enough time to view the TV and that is why I said we would do nothing even in a 100% chance. I often wondered if the county could blow the local fire siren in such an event. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual_mail,,,,,,,,{Invalid Expression},EN,4,404263,1,,{Invalid Expression},404263,
8/29/2020 19:39,8/29/2020 19:58,0,100,1147,1,8/29/2020 19:58,R_32WqGtqRZbSih3C,anonymous,EN,1,1,0,0,0,0,0,0,1,Siren,-99,-99,-99,-99,-99,2,13,8,-99,5,1,3,-99,3,-99,3,-99,,,,1,0,0,0,0,0,0,0,-99,21.863,80.462,81.449,19,1,1,2,2,2,2,1.402,30.418,33.264,10,5,1,1,1,1,1,3,-99,16.523,37.177,38.827,7,1,1,2,2,3,3,18.513,41.019,42.108,11,1,1,1,2,2,2,1.989,205.016,205.044,10,2,1,-99,1,17,2,2,2,2,0,0,0,1,0,0,4,4,5,6,I hope I read the question correctly. Four dollars for a new system that would work like you described is a minimal investment for each person in the United States Good luck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual_mail,,,,,,,,{Invalid Expression},EN,4,440884,1,,{Invalid Expression},440884,
8/30/2020 15:53,8/30/2020 16:02,0,100,535,1,8/30/2020 16:02,R_2ARlDWPJ2VfR1p1,anonymous,EN,1,0,0,0,0,0,0,0,1,Alarm ,2,2,2,2,30,2,8,8,-99,4,1,2,-99,2,-99,3,-99,,,,1,1,1,1,0,0,0,0,-99,16.94,94.285,97.133,13,1,4,3,3,2,2,8.978,42.225,43.771,7,5,3,2,1,1,1,2,-99,5.499,26.263,27.797,6,1,5,4,3,3,3,4.882,29.587,30.723,6,1,5,4,4,4,4,31.124,49.648,51.14,3,1,2,1,1,36,1,1,1,2,0,0,0,1,0,0,4,4,5,3,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual_mail,,,,,,,,{Invalid Expression},EN,96,77972,1,,{Invalid Expression},77972,
8/31/2020 20:29,8/31/2020 20:39,0,100,600,1,8/31/2020 20:39,R_2EztYM88Fpely3B,anonymous,EN,1,0,0,1,0,1,0,0,0,-99,1,4,4,3,10,2,4,5,-99,5,1,2,-99,3,-99,4,-99,,,,1,0,0,1,0,0,0,0,-99,14.167,83.422,83.425,17,1,-99,-99,-99,-99,2,11.498,17.295,17.297,3,5,-99,-99,-99,-99,1,2,-99,23.76,99.99,102.324,17,4,5,-99,1,2,3,10.575,39.31,43.244,11,4,5,-99,1,2,3,21.041,35.226,36.475,4,1,1,3,2,41,3,2,2,2,0,0,0,1,0,0,4,4,5,9,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual_mail,,,,,,,,{Invalid Expression},EN,240,297897,1,,{Invalid Expression},297897,
8/31/2020 21:20,8/31/2020 21:46,1,100,1584,1,8/31/2020 21:46,R_3IWZfPM01Ep05jE,preview,EN,1,0,1,1,0,0,0,0,0,-99,1,3,4,4,30,2,8,3,-99,5,1,3,-99,6,-99,1,-99,,,,1,0,0,1,0,1,0,0,-99,7.291,24.093,25.077,7,1,2,2,2,2,2,4.583,22.677,23.835,7,5,1,1,1,1,1,5,-99,5.292,118.249,119.644,7,1,5,5,5,5,5,4.995,20.501,25.906,7,1,5,5,5,5,5,2.301,37.495,39.401,4,1,1,1,2,26,2,2,1,2,0,0,0,0,0,1,4,4,4,5,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual_mail,,,,,,,,{Invalid Expression},EN,96,885160,1,,{Invalid Expression},885160,
