StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,QID46,F1,State,HI,ENG_1,ENG_2,QUAL,A1_1,A1_2,A1_3,A1_4,A1_5,A1_6,A1_7,A1_9,A1_8,A1_8_TEXT,A2_1,A2_2,A2_3,A2_4,A3,B1,B2,B3,B3_7_TEXT,B4,B5,C1,C1_7_TEXT,C2,C2_7_TEXT,C3,C3_7_TEXT,C4,C5,C5_8_TEXT,C6_2,C6_3,C6_4,C6_5,C6_6,C6_1,C6_8,C6_7,C6_7_TEXT,C7_1,C7_2,C7_3,C7_4,C7_5,C7_6,T_C7_First Click,T_C7_Last Click,T_C7_Page Submit,T_C7_Click Count,C8_1,C8_2,C8_3,C8_4,C8_5,C8_6,T_C8_First Click,T_C8_Last Click,T_C8_Page Submit,T_C8_Click Count,D1,D1_6_TEXT,D2_1,D2_2,D2_3,D2_10,D2_11,D2_12,T_D2_First Click,T_D2_Last Click,T_D2_Page Submit,T_D2_Click Count,D4_1,D4_2,D4_3,D4_10,D4_11,D4_12,T_D4_First Click,T_D4_Last Click,T_D4_Page Submit,T_D4_Click Count,T_E1_First Click,T_E1_Last Click,T_E1_Page Submit,T_E1_Click Count,E1,E2,E3_1,E1_N,E1_Y,F2_1,F3,F4,F5,F6_2,F6_1,F6_3,F6_5,F6_4,F6_6,F7,F8,F9,D2-1,D2-1_6_TEXT,D2-2,D2-2_6_TEXT,D2-3,D2-3_6_TEXT,D2-4,D2-4_6_TEXT,D2-5,D2-5_6_TEXT,D2-6,D2-6_6_TEXT,D3-1,D3-1_6_TEXT,D3-2,D3-2_6_TEXT,D3-3,D3-3_6_TEXT,D3-4,D3-4_6_TEXT,D3-5,D3-5_6_TEXT,D3-6,D3-6_6_TEXT,Q88_1,Q88_2,Q88_3,Q88_4,Q88_5,Q88_6,Q90,Q90_4_TEXT,Q92_1,Q92_2,Q92_3,Q92_4,Q92_5,Q92_6,Q94,Q94_4_TEXT,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D3,D3_4_TEXT,D4_1,D4_2,D4_3,D4_4,D4_5,D4_6,D5,D5_4_TEXT,Q78_1,Q78_2,Q78_3,Q78_4,Q78_5,D3,D3_4_TEXT,D5,D5_4_TEXT,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D4_1,D4_2,D4_3,D4_4,D4_5,D4_6,opp,rid,RISN,PID,psid,rnid,study,K2,med,Q_Language,QPMID,UserAgent,cintid,ProjectToken,gc,term,group,Bid,Price,LS
7/1/2020 16:07,7/1/2020 16:07,0,100,11,1,7/1/2020 16:07,R_12hAQelt3LGDCdR,anonymous,EN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2911-0207Hispanics,5efd0912-9502-d80c-4235-5abaa5e0496a,7917677,,,,,,{Invalid Expression},EN,,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",,,2,consent,,1,,
7/1/2020 16:19,7/1/2020 16:20,0,100,10,1,7/1/2020 16:20,R_2WMhkxhhPsLE5LE,anonymous,EN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2911-0207Hispanics,5efd0be2-d2df-027b-79e1-9fb19ff3dd9d,7917677,,,,,,{Invalid Expression},EN,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36 Edg/83.0.478.58",,,2,consent,,0,,
7/1/2020 16:35,7/1/2020 16:35,0,100,35,1,7/1/2020 16:35,R_2Vl7psnax7SJQSR,anonymous,EN,1,,2,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2911-0207Hispanics,5efd0f80-fc13-8a0c-d6f4-c677055aa8ce,7917677,,,,,,{Invalid Expression},EN,,"Mozilla/5.0 (Linux; Android 9; Infinix X650C Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36",,,2,state,,4,,
7/1/2020 16:34,7/1/2020 16:36,0,100,69,1,7/1/2020 16:36,R_3k3BDp4nFQB9YKl,anonymous,EN,1,,33,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2911-0207Hispanics,5efd0f75-2225-e2f0-9b4b-652660faded1,7917677,,,,,,{Invalid Expression},EN,,"Mozilla/5.0 (Linux; Android 9; Redmi Note 8 Build/PKQ1.190616.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.101 Mobile Safari/537.36",,,2,state,,2,,
7/1/2020 16:50,7/1/2020 16:51,0,100,48,1,7/1/2020 16:51,R_UnZvDIlmDkiVR05,anonymous,ES,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2911-0207Hispanics,5efd131b-ff7b-ffb0-6f1b-397cbeaa8f5c,7917678,,,,,,{Invalid Expression},ES,,"Mozilla/5.0 (Linux; Android 9; LM-Q720 Build/PKQ1.190302.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 TapResearch Multi Window",,,2,consent,,0,,
7/1/2020 16:51,7/1/2020 16:52,0,100,7,1,7/1/2020 16:52,R_31ZzYoxaDwIPNIJ,anonymous,ES,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2911-0207Hispanics,5efd1368-28e4-d376-6844-e802793e5676,7917678,,,,,,{Invalid Expression},ES,,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",,,2,consent,,0,,
7/1/2020 16:53,7/1/2020 16:53,0,100,7,1,7/1/2020 16:53,R_1E104icfoVZspwC,anonymous,ES,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2911-0207Hispanics,5efd13c8-8465-d5c4-35c8-b22246e2fa9d,7917678,,,,,,{Invalid Expression},ES,,"Mozilla/5.0 (Linux; Android 9; SM-J737P Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/75.0.3770.143 Mobile Safari/537.36 TapResearch Multi Window",,,2,consent,,1,,
7/1/2020 16:54,7/1/2020 16:54,0,100,12,1,7/1/2020 16:54,R_1mVI842rzcmphcm,anonymous,ES,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2911-0207Hispanics,5efd140c-23bd-b847-10f8-95fa599933a9,7917678,,,,,,{Invalid Expression},ES,,"Mozilla/5.0 (Linux; Android 8.1.0; SM-T580 Build/M1AJQ; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Safari/537.36 TapResearch Multi Window",,,2,consent,,5,,
7/1/2020 16:24,7/1/2020 16:59,0,100,2097,1,7/1/2020 16:59,R_2aUNnwOlTuTNJSV,anonymous,EN,1,,25,2,4,4,,1,1,1,0,0,1,0,0,0,-99,3,4,4,4,3,4,4,3,-99,5,1,3,-99,3,-99,3,-99,,,,1,0,1,0,0,0,0,0,-99,4,4,1,1,1,,,,,,4,1,1,2,2,,,,,,4,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-99,2,-99,2,-99,3,-99,4,-99,3,-99,1,-99,1,-99,2,-99,2,-99,3,-99,3,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2911-0207Hispanics,5efd0cfc-810e-845a-211b-4fd9c56ecd02,7917677,,,,,,{Invalid Expression},EN,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36",,,3,over_quota,2,3,,
7/1/2020 16:27,7/1/2020 17:35,0,100,4052,1,7/1/2020 17:35,R_246HCj0H3rDiiZm,anonymous,EN,1,,37,2,4,4,,0,0,1,0,0,1,0,0,1,city phone calls,2,4,4,4,10,2,9,5,-99,5,1,2,-99,2,-99,1,-99,,,,0,1,0,1,0,0,0,0,-99,1,1,1,1,1,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2911-0207Hispanics,5efd0de2-ba8f-063c-fd0b-394f84f134b9,7917677,,,,,,{Invalid Expression},EN,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36",,,3,over_quota,2,5,,
