pilot,zip,statefips,countyfips,EmbeddedDataBid,ExternalDataReference,stratas,groupn,language
1,75211,48,113,240,496551,7,13,English
1,30461,13,31,4,758782,2,12,English
1,21788,24,21,4,404263,0,10,English
1,78584,48,427,240,500365,7,13,English
1,78956,48,149,96,885160,2,12,English
1,27605,37,183,240,369867,0,10,English
1,92236,6,65,96,791860,1,11,English
1,92254,6,65,240,72475,1,11,English
1,92236,6,65,240,339097,1,11,English
1,77036,48,201,240,95641,7,13,English
1,6492,9,9,4,564554,0,10,English
1,51462,19,73,4,486145,2,12,English
1,70130,22,71,96,577185,2,12,English
1,33165,12,86,96,109378,3,13,English
1,33126,12,86,4,973092,3,13,English
1,10033,36,61,4,25389,1,11,English
1,33125,12,86,64,811306,3,13,English
1,67114,20,79,32,183997,2,12,English
1,78108,48,187,96,70309,2,12,English
1,33311,12,11,32,59020,2,12,English
1,27614,37,183,64,192119,0,10,English
1,77076,48,201,64,277509,7,13,English
1,78582,48,427,240,331010,7,13,English
1,33193,12,86,32,343252,3,13,English
1,33018,12,86,96,942969,3,13,English
1,75220,48,113,240,595466,7,13,English
1,88063,35,13,16,124328,1,11,English
1,54452,55,69,4,595925,2,12,English
1,92236,6,65,96,479977,1,11,English
1,33014,12,86,4,487734,3,13,English
1,75013,48,85,240,120973,2,12,English
1,62919,17,69,96,624247,2,12,English
1,60482,17,31,16,920321,2,12,English
1,29412,45,19,240,51239,2,12,English
1,75028,48,121,32,236674,2,12,English
1,61547,17,143,32,809564,2,12,English
1,33125,12,86,240,322499,3,13,English
1,6489,9,3,240,653428,0,10,English
1,33144,12,86,96,988077,3,13,English
1,33126,12,86,4,609203,3,13,English
1,87528,35,39,64,625130,0,10,English
1,77076,48,201,32,197852,7,13,English
1,33010,12,86,4,741019,3,13,English
1,77093,48,201,64,725175,7,13,English
1,84047,49,35,64,979802,0,10,English
1,77036,48,201,240,842677,7,13,English
1,60623,17,31,16,220194,5,13,English
1,37415,47,65,16,477234,2,12,English
1,6850,9,1,32,31310,0,10,English
1,33125,12,86,96,874177,3,13,English
1,29229,45,79,240,42022,2,12,English
1,45874,39,161,4,640515,2,12,English
1,33126,12,86,64,261276,3,13,English
1,43517,39,39,240,680008,2,12,English
1,8734,34,29,64,468935,0,10,English
1,29432,45,9,16,566873,2,12,English
1,76504,48,27,96,31122,2,12,English
1,90280,6,37,32,388631,1,11,English
1,38627,28,145,16,105776,2,12,English
1,79912,48,141,16,453303,7,13,English
