"","housing","threschold","prot_share","time"
"1","Mobile","0%",0.0470525726942932,"7 PM"
"2","Mobile","20%",0.166348702432149,"7 PM"
"3","Mobile","40%",0.256757067235808,"7 PM"
"4","Mobile","60%",0.34346865145454,"7 PM"
"5","Mobile","80%",0.390521224148833,"7 PM"
"6","Mobile","100%",0.493525081127126,"7 PM"
"7","Permanent","0%",0.217171138788892,"7 PM"
"8","Permanent","20%",0.588102739479544,"7 PM"
"9","Permanent","40%",0.796493268824065,"7 PM"
"10","Permanent","60%",0.906984462799701,"7 PM"
"11","Permanent","80%",0.943395285957566,"7 PM"
"12","Permanent","100%",0.947831389257789,"7 PM"
